timestamp,cat_meaning,cat_breed,current_brand,factor_natural,factor_imported,factor_taste,factor_foreign,factor_brand_fame,packaging_influence,image_preference,pkg_premium,pkg_cat_image,pkg_kibble_image,pkg_ingredient_image,pkg_eco_friendly,pkg_origin_symbol,pkg_benefit_symbol,pkg_guarantee,memorable_brand,desired_addition,opt1_want_buy,opt1_standout,opt1_premium,opt1_taste,opt1_suit_me,opt2_want_buy,opt2_standout,opt2_premium,opt2_taste,opt2_suit_me,opt3_want_buy,opt3_standout,opt3_premium,opt3_taste,opt3_suit_me,opt4_want_buy,opt4_standout,opt4_premium,opt4_taste,opt4_suit_me,opt5_want_buy,opt5_standout,opt5_premium,opt5_taste,opt5_suit_me,opt6_want_buy,opt6_standout,opt6_premium,opt6_taste,opt6_suit_me,opt7_want_buy,opt7_standout,opt7_premium,opt7_taste,opt7_suit_me,opt8_want_buy,opt8_standout,opt8_premium,opt8_taste,opt8_suit_me,opt9_want_buy,opt9_standout,opt9_premium,opt9_taste,opt9_suit_me,opt10_want_buy,opt10_standout,opt10_premium,opt10_taste,opt10_suit_me,top3_choices,age,gender,marital_status
6/26/2024 14:18:00,ความน่ารักใจฟู,ผสม British Shorthair + Scottish fold,King cat,2,2,4,2,4,1,ได้ทั้งสองแบบ หากถูกใจ,4,2,4,2,4,4,5,5,King cat เรียบหรู เข้าใจง่าย,อยากได้แบบกล่องจะได้เก็บได้ดีขึ้นนะ,5,5,3,3,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Option 2, Option 9, Option 10",20-29,หญิง,โสด ไม่มีแฟน
6/26/2024 14:30:57,สมาชิกในครอบครัว,พันธุ์ผสม (แมวจร),Projen,5,4,3,5,5,1,ได้ทั้งสองแบบ หากถูกใจ,3,2,5,5,5,4,5,5,Projen เพราะเห็นเลขอัตราส่วนผสมจากธรรมชาติชัดเจอ (ระบุเป็น %),ที่มาของวัตถุดิบ ความยั่งยืนของแหล่งที่มาของวัตถุดิบ,3,3,1,1,1,3,2,1,1,1,3,3,3,4,1,3,3,1,4,1,3,3,3,4,1,3,3,3,3,2,3,4,3,4,1,4,4,3,4,2,3,3,3,3,3,3,3,3,3,3,"Option 7, Option 8, Option 10",20-29,ชาย,มีแฟนแต่ยังไม่แต่งงาน
6/26/2024 14:31:39,เป็นเหมือนลูก,British Shorthair และ Munchkin,"Cheershare, Projen",5,2,5,2,5,0,ได้ทั้งสองแบบ หากถูกใจ,3,5,5,5,1,3,5,5,You-O เพราะสีโดดเด่น ติดภาพจำ เห็นบ่อย,สัญลักษณ์ ที่บอก Benefit ให้เข้าใจง่าย ชัดๆ,1,1,1,1,1,1,1,1,1,1,4,4,5,3,4,3,5,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Option 3, Option 4, Option 6",20-29,ชาย,มีแฟนแต่ยังไม่แต่งงาน
6/26/2024 14:34:09,ลูก,"British shorthair , ragdoll",King cat,4,2,5,2,5,1,ได้ทั้งสองแบบ หากถูกใจ,5,2,3,4,2,3,4,4,King cat,,3,4,2,3,4,2,4,2,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Option 3, Option 6, Option 7",20-29,หญิง,แต่งงานแล้ว
6/26/2024 14:34:33,เป็นแมว น่ารัก อมหัว,แมวไทย,แบบชั่งกิโล,3,2,4,1,4,1,ได้ทั้งสองแบบ หากถูกใจ,3,5,5,5,2,4,5,4,วิสกัส สีม่วงเด่น ทำการตลาดดี / MEO สีเหลือง หาซื้อในเซเว่นได้,สูตร ข้อดี ส่วนผสม เห็นชัด อ่านง่าย จบๆ ถ้ามีหลายสูตรก็อยากให้มีตารางเทียบว่าต่างกันยังไงไปเลย ยืนหน้าร้านนานๆ เหนื่อย,1,5,1,1,1,1,5,1,1,1,2,4,1,1,2,3,4,2,3,3,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,"Option 3, Option 4, Option 8",20-29,หญิง,โสด ไม่มีแฟน
6/26/2024 16:18:59,Family member,"Thai, Persian, American Short Hair, Exotic Short Hair","King cat, Wills, S-mellow",5,1,3,1,3,0,ได้ทั้งสองแบบ หากถูกใจ,1,1,5,1,5,5,5,5,เหมือนๆกัน ไม่มีแบรนด์ไหนเด่น,ไม่มี,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,5,1,1,1,"Option 2, Option 3, Option 6",30-39,หญิง,มีแฟนแต่ยังไม่แต่งงาน
6/26/2024 16:19:19,เจ้านาย,แมวไทย,You-o,3,3,4,3,4,1,ได้ทั้งสองแบบ หากถูกใจ,4,4,4,4,3,4,4,3,You-o ชื่อแบรนชัด คำอธิบายประเพทแมวชัดเจน,Zip lock หรือ ช่องปิดบรรจุภัณ,3,3,3,2,3,4,4,4,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,3,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,"Option 2, Option 3, Option 6",30-39,ชาย,มีแฟนแต่ยังไม่แต่งงาน
6/26/2024 16:27:18,เปรียบเสมือนคนในครอบครัวของเรา  เป็นเพื่อนเล่น เป็นความสุขของคนในบ้าน,แมวไทย,You-O,3,4,5,4,5,0,ได้ทั้งสองแบบ หากถูกใจ,4,5,5,3,3,3,5,4,You-O,ของแถม,3,3,4,3,3,4,5,4,3,4,4,5,4,3,5,3,5,3,3,3,4,5,4,3,4,3,5,3,3,2,4,5,5,3,4,3,5,3,3,2,4,5,3,3,3,2,5,2,3,1,"Option 2, Option 3, Option 7",20-29,ชาย,โสด ไม่มีแฟน
6/26/2024 16:51:53,เป็นสมาชิกในครอบครัว,เปอร์เซีย,Purino,5,4,5,4,5,1,ได้ทั้งสองแบบ หากถูกใจ,5,3,5,5,5,5,5,4,King cat ด้วยชื่อแบรนด์ที่ได้ยินบ่อยและคุณภาพ เป็นแบรนด์แรกที่นึกถึงและให้แมวกินตั้งแต่เริ่มเลี้ยงแมว ตอน kitten,วิตามินเสริม ในปริมาณที่เหมาะสมกับการเทให้สัตว์เลี่ยงแต่ละมื้อ,4,4,3,3,3,3,2,3,2,2,4,3,3,4,3,2,3,2,2,2,3,2,2,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Option 1, Option 3, Option 6",20-29,หญิง,โสด ไม่มีแฟน
6/26/2024 17:07:22,สมาชิกครอบครัว,Shorthair,King cat,3,3,4,3,3,1,ได้ทั้งสองแบบ หากถูกใจ,3,3,3,3,4,4,5,2,Wiskus,Ziplock,2,4,4,3,2,4,5,4,3,2,2,4,2,2,2,2,3,3,3,2,2,2,3,3,2,4,4,3,3,3,4,3,4,3,3,4,4,4,3,2,4,4,3,2,2,4,4,3,2,2,"Option 1, Option 7, Option 9",50+,ชาย,แต่งงานแล้ว
